@RELATION svmforspeakerrecognition
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {tedx1,Nauman,tedx2,sentdex}

@DATA
0.061404,0.003815,3.063380,0.133536,0.161663,0.488720,0.008760,0.091208,-28.868266,2.495677,-0.152124,-0.500329,-0.353326,0.078343,0.102022,0.003376,-0.042525,-0.032421,-0.063357,0.027461,-0.102440,0.025978,0.007917,0.016496,0.018160,0.029633,0.021317,0.027553,0.003915,0.007190,0.012618,0.013218,0.013571,0.021426,0.044125,0.004959,0.246684,0.043331,0.023450,0.459195,0.005476,0.087268,2.302024,0.652422,0.594453,0.394505,0.390723,0.310677,0.288057,0.237035,0.268031,0.237477,0.217112,0.214011,0.217224,0.025595,0.009358,0.016456,0.018875,0.025793,0.022417,0.023831,0.005456,0.008066,0.012177,0.012989,0.014319,0.009432,240.000000,0.090617,Nauman
0.063243,0.003793,3.062895,0.136170,0.161626,0.518158,0.008413,0.094800,-28.776610,2.431201,-0.030748,-0.446036,-0.387066,0.097542,0.089702,0.002624,-0.041924,-0.036745,-0.077312,0.025213,-0.118152,0.025659,0.007405,0.018248,0.019270,0.030566,0.020538,0.028392,0.003339,0.007034,0.013382,0.013185,0.012638,0.021767,0.044009,0.004869,0.257071,0.042662,0.022484,0.464844,0.005105,0.087490,2.262338,0.639435,0.594462,0.393393,0.384572,0.311962,0.286637,0.233407,0.260507,0.240695,0.219327,0.215275,0.225819,0.025998,0.008956,0.017929,0.020002,0.025860,0.021156,0.024254,0.005055,0.007960,0.012883,0.012851,0.014450,0.009766,240.000000,0.089840,Nauman
0.065862,0.003665,3.055830,0.138585,0.162475,0.558706,0.007824,0.101003,-28.695712,2.339430,-0.124425,-0.442965,-0.303144,0.126834,0.119413,-0.030113,-0.072913,-0.045605,-0.093538,0.005326,-0.112473,0.023062,0.006551,0.018061,0.019530,0.033637,0.019787,0.024031,0.003542,0.007371,0.013190,0.013933,0.012931,0.020499,0.041808,0.005117,0.269168,0.040810,0.022407,0.463036,0.004739,0.086339,2.380842,0.640245,0.592318,0.371973,0.394479,0.296394,0.261848,0.230947,0.255273,0.235513,0.214281,0.219903,0.225183,0.024218,0.007635,0.018336,0.020123,0.026209,0.019111,0.019716,0.005012,0.008731,0.012775,0.013113,0.014792,0.008792,240.000000,0.100162,Nauman
0.065363,0.005295,3.067609,0.137759,0.161914,0.560693,0.008525,0.101366,-27.804902,2.340127,-0.140168,-0.474057,-0.300634,0.064229,0.157344,-0.021373,-0.088166,0.038301,-0.135404,-0.056212,-0.157374,0.026067,0.007990,0.020637,0.023849,0.024593,0.013971,0.023127,0.003481,0.007511,0.014178,0.015094,0.014133,0.020606,0.044605,0.006700,0.235281,0.042660,0.021588,0.517817,0.005347,0.092215,2.344522,0.733703,0.717098,0.409238,0.470354,0.315922,0.287657,0.227750,0.280666,0.263613,0.244549,0.240225,0.257263,0.030945,0.009295,0.021830,0.024628,0.022418,0.014629,0.020942,0.005338,0.010247,0.014132,0.015334,0.016497,0.009519,240.000000,0.098765,Nauman
0.083700,0.007412,2.993751,0.141145,0.146221,0.836813,0.007522,0.144025,-27.340920,0.896626,-0.020905,-0.651411,-0.294166,0.092863,-0.009881,-0.129034,-0.194165,0.268867,-0.068022,-0.199825,-0.012313,0.012194,0.006833,0.010034,0.007485,0.009651,0.011508,0.015450,0.007668,0.012558,0.014829,0.013327,0.008278,0.013469,0.048318,0.010761,0.369700,0.048661,0.029491,0.464305,0.004875,0.082156,2.414843,0.727616,0.725491,0.429064,0.395663,0.341767,0.342977,0.275372,0.268633,0.264667,0.243409,0.252196,0.254072,0.014560,0.008757,0.011771,0.009905,0.010571,0.014981,0.019134,0.010309,0.015024,0.015893,0.015362,0.011164,0.008821,240.000000,0.091138,tedx2
0.072203,0.005507,2.987517,0.132636,0.146600,0.733087,0.007818,0.126071,-27.987766,1.013438,-0.244691,-0.540448,-0.272872,0.120662,0.082123,-0.105304,-0.169502,0.275472,-0.020423,-0.104733,0.084442,0.010743,0.009624,0.009783,0.006987,0.010365,0.016374,0.017120,0.006820,0.014425,0.012398,0.011226,0.007196,0.012937,0.044918,0.008406,0.437180,0.048918,0.031722,0.462081,0.004821,0.079174,2.505715,0.757275,0.689348,0.411786,0.468056,0.345624,0.314597,0.285906,0.242227,0.247171,0.234071,0.245998,0.223570,0.013688,0.012847,0.012105,0.009016,0.010316,0.019083,0.020225,0.008343,0.018216,0.011142,0.015066,0.009324,0.008507,171.428571,0.109272,tedx2
0.086000,0.007956,2.994998,0.142846,0.146145,0.857558,0.007458,0.147617,-27.183162,0.873267,0.023852,-0.673605,-0.298427,0.087305,-0.028282,-0.133781,-0.199098,0.267548,-0.077542,-0.218845,-0.031664,0.012484,0.006275,0.010084,0.007584,0.009508,0.010535,0.015116,0.007838,0.012184,0.015315,0.013747,0.008495,0.013575,0.048998,0.011466,0.356204,0.048610,0.029045,0.464750,0.004891,0.082754,2.396677,0.721686,0.732722,0.432521,0.381186,0.340997,0.348654,0.273266,0.273915,0.268167,0.245277,0.253437,0.260174,0.014734,0.007939,0.011704,0.010083,0.010622,0.014161,0.018916,0.010702,0.014386,0.016844,0.015421,0.011532,0.008884,200.000000,0.093599,tedx2
0.084422,0.008366,2.989397,0.141087,0.145533,0.854957,0.007171,0.145438,-27.005924,0.831458,0.015104,-0.674486,-0.317311,0.077549,-0.035712,-0.143416,-0.200831,0.255083,-0.083373,-0.220567,-0.011740,0.011460,0.006683,0.010362,0.008056,0.009504,0.010637,0.015444,0.008179,0.012601,0.014499,0.012449,0.008330,0.013178,0.045159,0.011640,0.356885,0.045865,0.029255,0.441535,0.004429,0.076943,2.367342,0.710543,0.718399,0.431068,0.372466,0.337161,0.357034,0.271996,0.283066,0.268329,0.251455,0.255212,0.256421,0.012679,0.008471,0.012162,0.010679,0.010613,0.013704,0.019159,0.011322,0.014572,0.016284,0.013807,0.011194,0.008614,240.000000,0.091252,tedx2
0.086493,0.009277,2.994016,0.142788,0.146979,0.865510,0.006668,0.147160,-26.971618,0.795614,-0.053993,-0.651364,-0.302609,0.073184,-0.021911,-0.141363,-0.192879,0.261899,-0.134362,-0.250998,-0.050409,0.013042,0.007552,0.011371,0.008430,0.009425,0.010566,0.015442,0.008547,0.010952,0.013021,0.012779,0.009212,0.013044,0.044524,0.013213,0.357910,0.045736,0.028829,0.430441,0.003944,0.078499,2.392799,0.688536,0.681846,0.407202,0.355107,0.336728,0.338919,0.267883,0.290387,0.259538,0.263058,0.265742,0.260622,0.014378,0.009451,0.013058,0.010912,0.010506,0.012762,0.018881,0.011158,0.012790,0.014129,0.013638,0.011899,0.008414,240.000000,0.087810,tedx2
0.091108,0.009886,3.000881,0.147122,0.149299,0.894756,0.006338,0.154821,-26.935740,0.756902,-0.137032,-0.558133,-0.301036,0.078246,0.035031,-0.185009,-0.158696,0.280653,-0.145000,-0.273438,-0.101408,0.014343,0.007743,0.011166,0.007543,0.009058,0.009162,0.016727,0.009209,0.010982,0.011516,0.012704,0.010149,0.012835,0.048689,0.014733,0.345735,0.050026,0.029829,0.464467,0.003739,0.087981,2.513167,0.688166,0.663506,0.366546,0.344465,0.321415,0.338213,0.259720,0.278220,0.255194,0.273090,0.274048,0.268818,0.014700,0.009160,0.012419,0.010136,0.010203,0.010048,0.020480,0.011682,0.011778,0.012769,0.013935,0.012819,0.008125,240.000000,0.091473,tedx2
0.092053,0.009145,3.058886,0.146523,0.149229,0.902065,0.005343,0.156062,-27.458743,0.746320,-0.164389,-0.469476,-0.324128,0.072093,0.066198,-0.168242,-0.210312,0.348607,-0.111018,-0.192776,-0.003432,0.011948,0.005852,0.009644,0.005926,0.008948,0.010798,0.019156,0.010799,0.010484,0.011748,0.012254,0.010911,0.011581,0.048258,0.015451,0.298658,0.050096,0.028471,0.471888,0.003238,0.089278,2.705535,0.620394,0.686796,0.357706,0.345537,0.300225,0.342757,0.254702,0.278157,0.246124,0.257589,0.237896,0.235311,0.010306,0.005932,0.009881,0.007319,0.009247,0.010689,0.021055,0.013332,0.010205,0.011335,0.010067,0.013332,0.007616,300.000000,0.089606,tedx2
0.054127,0.004731,3.011714,0.126588,0.168916,0.412205,0.013423,0.076816,-28.571241,2.414491,0.323839,-0.249797,-0.287425,-0.349721,-0.068487,-0.037380,-0.020937,-0.045157,-0.120170,-0.040483,-0.070544,0.014026,0.009313,0.020081,0.019758,0.030635,0.028126,0.032693,0.002075,0.008641,0.016600,0.018242,0.011365,0.026802,0.053021,0.006447,0.304259,0.055089,0.030834,0.487195,0.010308,0.093293,2.025778,0.792022,0.739195,0.500662,0.462097,0.350766,0.334586,0.301648,0.270977,0.231504,0.243333,0.236535,0.241428,0.018314,0.014226,0.022184,0.025605,0.036411,0.038742,0.030512,0.002911,0.012921,0.019876,0.023087,0.017771,0.014565,200.000000,0.082148,sentdex
0.059195,0.016150,3.021064,0.130266,0.165740,0.492068,0.015840,0.086392,-26.586531,2.390125,0.401367,-0.400473,-0.347640,-0.434502,-0.127959,-0.014084,-0.048541,-0.073870,-0.119309,-0.068443,-0.112422,0.013776,0.009517,0.021368,0.018572,0.025876,0.036529,0.021475,0.001482,0.007108,0.015130,0.020214,0.012813,0.027437,0.055835,0.020093,0.290362,0.056488,0.029597,0.540143,0.012251,0.096638,1.928019,0.909890,0.846028,0.458953,0.419703,0.376829,0.339498,0.344544,0.281436,0.245357,0.288277,0.246765,0.245591,0.017736,0.014434,0.027082,0.022928,0.035868,0.051802,0.023817,0.002359,0.010235,0.020455,0.028748,0.021237,0.016877,171.428571,0.080128,sentdex
0.053114,0.004535,3.009851,0.125853,0.169551,0.396233,0.012922,0.074905,-28.682836,2.419452,0.308322,-0.219668,-0.275383,-0.332772,-0.056592,-0.042040,-0.015418,-0.039414,-0.120346,-0.034890,-0.062174,0.014076,0.009273,0.019824,0.019996,0.031587,0.026445,0.034936,0.002193,0.008947,0.016894,0.017848,0.011075,0.026675,0.052459,0.006315,0.307034,0.054809,0.031082,0.476610,0.009932,0.092630,2.045419,0.768479,0.717860,0.509026,0.470589,0.345569,0.333615,0.293080,0.268896,0.228739,0.234352,0.234497,0.240600,0.018430,0.014185,0.021205,0.026140,0.036519,0.036131,0.031850,0.003021,0.013458,0.019761,0.021954,0.017077,0.014103,200.000000,0.086957,sentdex
0.054185,0.006787,3.002823,0.127343,0.169533,0.408221,0.012282,0.076941,-28.011778,2.328701,0.287014,-0.223793,-0.254742,-0.310870,-0.036866,-0.042705,-0.001472,-0.039041,-0.111079,-0.028428,-0.071855,0.013940,0.009147,0.021042,0.019093,0.027398,0.024582,0.036079,0.002417,0.009451,0.017346,0.018362,0.009866,0.025836,0.051335,0.009792,0.317165,0.054092,0.030760,0.472928,0.009163,0.091206,2.048650,0.785222,0.725808,0.507357,0.475780,0.344396,0.338301,0.289853,0.264088,0.222672,0.237215,0.235452,0.243933,0.017986,0.013838,0.022477,0.025565,0.032743,0.035356,0.031996,0.003367,0.014081,0.019819,0.022335,0.015024,0.013958,200.000000,0.083400,sentdex
0.055363,0.007226,3.001419,0.127336,0.168877,0.419346,0.012036,0.079375,-27.988372,2.315097,0.231859,-0.257245,-0.242444,-0.321315,-0.037066,-0.056703,-0.006470,-0.038448,-0.130980,-0.027510,-0.069880,0.013557,0.009442,0.020948,0.018670,0.026452,0.022720,0.033374,0.002513,0.009979,0.017043,0.017517,0.009994,0.024056,0.053058,0.010890,0.318509,0.055526,0.030784,0.483822,0.008469,0.095178,2.041956,0.793873,0.719074,0.499905,0.485213,0.350994,0.337030,0.293866,0.264679,0.224759,0.240663,0.230435,0.244420,0.017227,0.014618,0.022903,0.025177,0.031485,0.033155,0.030643,0.003344,0.014030,0.018633,0.021912,0.015302,0.013378,150.000000,0.081197,sentdex
0.056497,0.010610,2.999939,0.127445,0.168217,0.428793,0.011847,0.079090,-27.350017,2.296569,0.272989,-0.196904,-0.266901,-0.290699,-0.062045,-0.088236,-0.004542,-0.048577,-0.136542,-0.027272,-0.071917,0.013251,0.007799,0.020460,0.016402,0.026777,0.023682,0.036807,0.002328,0.010187,0.017184,0.016486,0.009706,0.023906,0.053147,0.014328,0.309986,0.054624,0.029672,0.496009,0.008479,0.092319,2.079809,0.801535,0.691740,0.463604,0.482355,0.338760,0.321432,0.281557,0.266062,0.231882,0.243682,0.242624,0.251370,0.017082,0.010925,0.023664,0.023100,0.032238,0.033729,0.033809,0.003088,0.012991,0.019130,0.021406,0.015053,0.013582,240.000000,0.088000,sentdex
0.053053,0.011032,3.020007,0.124123,0.168314,0.397251,0.011205,0.074521,-26.928598,2.379304,0.244025,-0.206194,-0.289252,-0.306121,-0.023570,-0.070677,-0.048837,-0.087970,-0.125046,-0.029681,-0.031777,0.014509,0.007435,0.021033,0.019823,0.035806,0.021224,0.032737,0.002519,0.009517,0.016329,0.016939,0.007973,0.024264,0.050264,0.013355,0.303640,0.052275,0.031865,0.447802,0.007906,0.086213,2.076286,0.732128,0.672567,0.463559,0.485809,0.350487,0.356976,0.285721,0.275801,0.229391,0.259974,0.241489,0.243852,0.019588,0.009917,0.020875,0.026255,0.043531,0.029180,0.029403,0.003590,0.013142,0.017610,0.019729,0.011122,0.013291,200.000000,0.090323,sentdex
